股票代號,股票名稱,市場
1101,台泥,上市
1102,亞泥,上市
1216,統一,上市
1301,台塑,上市
1303,南亞,上市
1402,遠東新,上市
1476,儒鴻,上市
1597,直得,上櫃
2002,中鋼,上市
2301,光寶科,上市
2303,聯電,上市
2308,台達電,上市
2317,鴻海,上市
2330,台積電,上市
2345,智邦,上市
2353,宏碁,上市
2356,英業達,上市
2359,所羅門,上市
2368,金像電,上市
2376,技嘉,上市
2382,廣達,上市
2395,研華,上市
2408,南亞科,上市
2454,聯發科,上市
2455,全新,上市
2603,長榮,上市
2609,陽明,上市
2615,萬海,上市
3006,晶豪科,上市
3034,聯詠,上市
3037,欣興,上市
3044,健鼎,上市
3231,緯創,上市
3260,威剛,上櫃
3443,創意,上市
3455,由田,上櫃
3661,世芯-KY,上市
3711,日月光投控,上市
4763,材料-KY,上市
4966,譜瑞-KY,上市
5274,信驊,上櫃
5483,中美晶,上櫃
6125,廣運,上櫃
6147,頎邦,上櫃
6182,合晶,上櫃
6239,力成,上市
6271,同欣電,上市
6409,旭隼,上市
6669,緯穎,上市
8046,南電,上市
8299,群聯,上櫃
